SRC_NAME,RAJ2000,DECJ2000,IAUNAME
4FGL_J1132.8-5328,173.22471618652344,-53.484249114990234,1eRASS J113253.8-532858
4FGL_J1136.8-7413,174.040248333,-74.2625763278,1eRASS J113610.1-741545
4FGL_J1145.7-1528,176.39089965820312,-15.482730865478516,1eRASS J114534.0-152856
4FGL_J1146.4-0926,176.50067138671875,-9.533418655395508,1eRASS J114600.0-093201
4FGL_J1147.2-2627,176.776186838,-26.4207114611,1eRASS J114705.8-262514
4FGL_J1149.1+2819,177.287109375,28.409692764282227,1eRASS J114908.7+282436
4FGL_J1149.5-4029,177.323799512,-40.4967335222,1eRASS J114917.4-402943
4FGL_J1153.3-1104,178.3429718017578,-11.086830139160156,1eRASS J115322.3-110506
4FGL_J1153.6-2553,178.410243908,-25.9036597194,1eRASS J115338.0-255415
4FGL_J1153.7-3210,178.47528076171875,-32.22075271606445,1eRASS J115354.2-321311
4FGL_J1155.6-6547,178.5626983642578,-65.70455169677734,1eRASS J115415.3-654217
4FGL_J1155.8-1217,178.90341186523438,-12.276529312133789,1eRASS J115536.7-121634
4FGL_J1156.8-1537,179.21762084960938,-15.611083984375,1eRASS J115652.3-153640
4FGL_J1158.9+0956,179.7994384765625,9.913052558898926,1eRASS J115912.0+095446
4FGL_J1158.9+0818,179.72166442871094,8.328694343566895,1eRASS J115853.2+081944
4FGL_J1159.2-2227,179.796946904,-22.4769169278,1eRASS J115911.2-222838
4FGL_J1200.8-1429,180.229726304,-14.5111951472,1eRASS J120055.1-143041
4FGL_J1201.1-0332,180.296404021,-3.53876993333,1eRASS J120111.2-033224
4FGL_J1207.2-0524,181.84375,-5.411670207977295,1eRASS J120722.6-052437
4FGL_J1208.2-7810,182.076480308,-78.1635039,1eRASS J120820.5-780951
4FGL_J1208.8-2754,182.250820608,-27.8973620917,1eRASS J120900.4-275350
4FGL_J1209.0-4630,182.27162170410156,-46.49677658081055,1eRASS J120904.8-462948
4FGL_J1211.0-3800,182.75729370117188,-37.92194366455078,1eRASS J121101.6-375511
4FGL_J1211.6-2735,182.899189375,-27.6043908361,1eRASS J121135.9-273618
4FGL_J1212.7-1402,183.16790771484375,-14.028189659118652,1eRASS J121240.6-140146
4FGL_J1214.6-1926,183.51541137695312,-19.361888885498047,1eRASS J121403.4-192143
4FGL_J1215.8-1733,183.944799,-17.5292786444,1eRASS J121547.0-173140
4FGL_J1216.2-6121,184.27345275878906,-61.22372817993164,1eRASS J121706.0-611331
4FGL_J1220.2-3713,185.08253479003906,-37.23727798461914,1eRASS J122019.7-371415
4FGL_J1222.0-4121,185.542325846,-41.3826452472,1eRASS J122210.3-412252
4FGL_J1223.0+1100,185.78016662597656,11.01058292388916,1eRASS J122307.2+110039
4FGL_J1223.9-0545,185.94189453125,-5.782787322998047,1eRASS J122346.2-054657
4FGL_J1224.7-8313,186.226593879,-83.2194727694,1eRASS J122455.3-831311
4FGL_J1225.3-3446,186.403415167,-34.7893775139,1eRASS J122536.8-344720
4FGL_J1225.4-1550,186.35537719726562,-15.888055801391602,1eRASS J122525.1-155319
4FGL_J1225.5-2851,186.314646162,-28.8314583083,1eRASS J122515.6-284951
4FGL_J1225.6-4937,186.42999267578125,-49.612815856933594,1eRASS J122543.0-493638
4FGL_J1240.1-6846,189.944380733,-68.7585812778,1eRASS J123946.6-684527
4FGL_J1240.4-7148,190.088271425,-71.8160530583,1eRASS J124021.7-714858
4FGL_J1244.2-4956,191.0957489013672,-49.90621566772461,1eRASS J124423.3-495421
4FGL_J1249.2-2809,192.330451329,-28.1429012417,1eRASS J124919.4-280833
4FGL_J1254.9-7141,193.749672792,-71.638454625,1eRASS J125459.9-713819
4FGL_J1256.1-5919,194.020379654,-59.3288924278,1eRASS J125604.9-591949
4FGL_J1259.5+2332,194.9011688232422,23.513099670410156,1eRASS J125936.2+233042
4FGL_J1304.0-5539,195.955066254,-55.6754466861,1eRASS J130349.1-554032
4FGL_J1304.9-2107,196.246122179,-21.1117938806,1eRASS J130459.1-210641
4FGL_J1306.5+1926,196.62911987304688,19.378889083862305,1eRASS J130631.0+192245
4FGL_J1307.1-0344,196.80575561523438,-3.7419445514678955,1eRASS J130713.4-034431
4FGL_J1308.1-3801,197.04241943359375,-38.02067565917969,1eRASS J130810.2-380115
4FGL_J1308.4-6706,197.072398821,-67.1181193528,1eRASS J130817.4-670703
4FGL_J1310.1-0450,197.5543212890625,-4.869076728820801,1eRASS J131013.3-045208
4FGL_J1310.7-5553,197.68064825,-55.8698692028,1eRASS J131043.4-555212
4FGL_J1312.6-1900,198.1445770263672,-18.983722686767578,1eRASS J131234.8-185857
4FGL_J1314.7-0901,198.66929626464844,-9.03005599975586,1eRASS J131440.6-090149
4FGL_J1316.7+2054,199.16604614257812,20.920804977416992,1eRASS J131639.6+205513
4FGL_J1318.1-1740,199.53388435,-17.5935116167,1eRASS J131807.6-173540
4FGL_J1319.5-0045,199.911525721,-0.827760844444,1eRASS J131938.8-004941
