name,ra,dec,major,minor,angle
FL16Y J0111.4+3441,17.8733,34.6998,0.0701,0.0628,-61.23
FL16Y J0112.1+2244,18.033,22.7483,0.0097,0.0096,73.53
FL16Y J0112.1-0324,18.0431,-3.4118,0.1,0.0763,-41.37
FL16Y J0112.2-6636,18.066,-66.6036,0.0715,0.0611,22.04
FL16Y J0112.3+0254,18.0999,2.9151,0.0541,0.0488,40.24
FL16Y J0112.5-7506,18.1284,-75.1122,0.0281,0.0277,37.24
FL16Y J0112.6-3159,18.1599,-31.9842,0.0675,0.0623,35.42
FL16Y J0112.7-0254,18.1967,-2.9108,0.0913,0.0749,46.72
FL16Y J0112.8-2532,18.2015,-25.5468,0.3247,0.2502,74.28
FL16Y J0112.8+3208,18.2221,32.1433,0.0113,0.011,80.62
FL16Y J0112.9-0657,18.243,-6.9532,0.3485,0.3267,-50.99
FL16Y J0113.2-3552,18.3004,-35.8726,0.0416,0.0405,-48.8
FL16Y J0113.5+4948,18.3801,49.8147,0.0172,0.0167,15.83
FL16Y J0113.6+0223,18.4181,2.3893,0.055,0.0496,17.8
FL16Y J0113.9+6417,18.4866,64.2963,0.059,0.0442,82.17
FL16Y J0114.1+1225,18.5278,12.4214,0.0921,0.0808,35.74
FL16Y J0114.9+1326,18.7296,13.4337,0.0219,0.0193,56.77
FL16Y J0114.9-3359,18.7397,-33.9999,0.0265,0.0234,-24.79
FL16Y J0115.0+2621,18.7668,26.355,0.0897,0.0708,2.51
FL16Y J0115.2-0128,18.8175,-1.4725,0.0611,0.0428,41.15
FL16Y J0115.4-2917,18.8658,-29.2839,0.0524,0.0428,-66.56
FL16Y J0115.6+0356,18.9236,3.942,0.0182,0.0178,-60.33
FL16Y J0115.6-5652,18.924,-56.8798,0.0775,0.0549,-4.68
FL16Y J0115.8+2520,18.951,25.3335,0.0141,0.013,-60.86
FL16Y J0115.9-2745,18.9933,-27.7555,0.0332,0.0309,80.52
FL16Y J0115.9-3047,18.9955,-30.7926,0.1665,0.1235,-66.04
FL16Y J0116.0-1136,19.0115,-11.603,0.031,0.0306,76.4
FL16Y J0116.2+6916,19.0592,69.2725,0.1156,0.1021,-3.06
FL16Y J0116.2-6153,19.0612,-61.8928,0.0237,0.023,-84.3
FL16Y J0116.5-2813,19.1306,-28.2253,0.0585,0.05,-10.55
