ra,dec,name
211.21204,4.03394,MS 1402.3+0416
207.71975,30.58156,B2 1348+30B
174.11363,34.12814,MG2 J113627+3408
172.30858,-5.48231,NVSS J112914-052856
149.32571,-13.83367,PMN J0957-1350
140.88038,41.4245,B3 0920+416
68.67075,9.39683,TXS 0431+092
36.29535,-26.05511,PMN J0225-2603
11.9799,39.81598,B3 0045+395
64.49275054,-2.838702928,PKS B0415-029
337.73518,-44.27497,PKS 2227-445
209.77393,55.74149,87GB 135720.6+555936
198.20321,-23.84647,NVSS J131248-235046
186.04133,50.03208,SBS 1221+503
74.15227,-31.60333,PMN J0456-3135
41.32025,24.09311,B2 0242+23
26.2648,-27.55955,PKS 0142-278
4.04634,-0.25374,S3 0013-00
289.2,-30.4167,
11.88765,-25.28995,NGC 253
306.12237,-8.80123,1RXS J202428.9-084810
160.32151,6.17137,4C +06.41
145.58942,-7.99811,PMN J0942-0800
140.61383,4.56083,GB6 J0922+0433
88.753996,3.073544,GB6 J0555+0304
67.59311,16.91799,MG1 J043022+1655
